id,comment,patterns
com.github.scala-blitz:scala-blitz_2.10,,
com.github.scala-blitz:scala-blitz_2.11,,
com.github.scala-blitz:scala-blitz_2.11.0-M7,,
com.github.staslev:storm-metrics-reporter,,
com.github.stephenc.high-scale-lib:java_util_concurrent_chm,,
com.github.stephenc.high-scale-lib:java_util_hashtable,,
com.github.subchen:jetbrick-all,,class&throw
com.github.ubehebe:bxt,,
com.github.vijay2win:lruc,,
com.google.errorprone:error_prone_ant,,
com.google.gerrit:gerrit-plugin-api,,
com.graphaware.neo4j:graphaware-framework-embedded,,
com.graphaware.neo4j:graphaware-framework-server-community,,
com.graphaware.neo4j:graphaware-framework-server-enterprise,,
com.hazelcast:hazelcast-hibernate4,,
com.higherfrequencytrading:affinity,,
com.hubspot:BaragonAgentService,,
com.hubspot:BaragonService,,
com.hypnoticocelot:jaxrs-doclet,,
com.hypnoticocelot:jaxrs-doclet-sample-dropwizard,,
com.indeed:util-mmap,,
com.labs64.netlicensing:netlicensing-client-demo,,
com.librato.watchconf:watchconf-util,,
com.madgag:bfg,,
com.meltmedia.cadmium:cadmium-cli,,
com.mgmtp.perfload:perfload-agent,,
com.newrelic.agent.java:newrelic-agent,,
com.nfsdb:nfsdb-thrift,,
com.ning.billing:killbill-osgi-bundles-analytics,,
com.ning.billing:killbill-osgi-bundles-jruby,,
com.ning:lzf4hadoop,,
com.noctarius.bz2java:bz2java,,
com.orange.redis-protocol:netty4-server,,throw
com.ovea.tajin.framework:tajin-framework-all,,
com.ovea.tajin:tajin-all,,class
com.ovea:jetty-session-redis,,
com.payneteasy:mysql-scheduler,,
com.qmetric:hal-feed-server,,
com.savoirtech:cassandra-all,,
com.sematext:solr-redis,,
com.senseidb:compressor,,
com.sharethis:mongomigration,,
com.softwaremill.macwire:runtime_2.10,,
com.softwaremill.macwire:runtime_2.11,,
com.softwaremill.macwire:scopes_2.10,,
com.sonatype.clm:clm-maven-plugin,,
com.sonatype.insight:ahc,,
com.storm-enroute:reactive-collections_2.10,,
com.storm-enroute:reactive-collections_2.11,,
com.storm-enroute:reactress_2.10,,
com.sun.corba:glassfish-corba-peorb,,throw
com.sun.grizzly.osgi:grizzly-httpservice-bundle,,
com.sun.grizzly.samples:grizzly-embed-samples,,
com.sun.grizzly.samples:grizzly-multiple-adapter,,
com.sun.grizzly:grizzly-http-servlet-deployer,,
com.sun.grizzly:grizzly-hudson,,
com.sun.grizzly:grizzly-nio-framework,,
com.sun.tools.btrace:btrace-agent,,
com.sun.tools.btrace:btrace-boot,,class
com.sun.tools.btrace:btrace-client,,class
com.timgroup:jgravatar,,
com.tocea.scertify.maven:maven-scertify-plugin,,
com.typesafe.akka:akka-actor_2.11.0-M4,,
com.typesafe.akka:akka-actor_2.11.0-M5,,
com.typesafe.akka:akka-actor_2.11.0-M8,,
com.unister.semweb:DRUMS,,
com.vaadin.external.gwt:gwt-servlet,,
com.vaadin:vaadin-shared-deps,,
com.vinumeris:updatefx-app,,
com.vinumeris:updatefx-examples,,
